id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,nacidos_muertos_atendidos_por_partera,total_general
182,4,ORURO     ,40702,MACHACAMARCA                  ,22,6,1,0,0,29
183,4,ORURO     ,40801,SALINAS DE GARCI MENDOZA      ,95,37,5,0,0,137
184,4,ORURO     ,40802,PAMPA AULLAGAS                ,16,31,0,0,0,47
185,4,ORURO     ,40901,SABAYA                        ,16,18,0,0,0,34
186,4,ORURO     ,40902,COIPASA                       ,2,5,0,0,0,7
187,4,ORURO     ,40903,CHIPAYA                       ,12,20,0,0,0,32
188,4,ORURO     ,41001,TOLEDO                        ,31,11,1,0,1,44
189,4,ORURO     ,41101,EUCALIPTUS                    ,50,9,5,0,0,64
190,4,ORURO     ,41201,ANDAMARCA                     ,22,8,5,0,0,35
191,4,ORURO     ,41202,BELEN DE ANDAMARCA            ,4,7,0,0,0,11
192,4,ORURO     ,41301,TOTORA(ORR)                   ,26,29,0,0,0,55
193,4,ORURO     ,41401,SANTIAGO DE HUARI             ,69,45,6,1,0,121
194,4,ORURO     ,41502,TODOS SANTOS                  ,4,,,0,,4
195,4,ORURO     ,41503,CARANGAS                      ,1,,,0,,1
196,4,ORURO     ,41601,HUAYLLAMARCA                  ,30,19,2,0,0,51
197,5,POTOSI    ,50101,POTOSI                        ,5318,8,1,74,0,5401
198,5,POTOSI    ,50102,TINGUIPAYA                    ,29,245,44,0,5,323
199,5,POTOSI    ,50103,YOCALLA                       ,45,20,0,0,2,67
200,5,POTOSI    ,50104,BELEN DE URMIRI               ,1,10,1,0,0,12
201,5,POTOSI    ,50201,UNCIA                         ,275,64,0,1,0,340
